Strong Classifier :
Feat0 : error = 0.002725, toggle = 1, threshold = -868666112.000000, index = 16031, coef = -0.035437
Feat1 : error = 0.000001, toggle = 1, threshold = -950606592.000000, index = 124997, coef = 0.001786
Feat2 : error = 0.000001, toggle = 1, threshold = -2125038592.000000, index = 83884, coef = -0.007322
Feat3 : error = 0.000001, toggle = 1, threshold = -950606400.000000, index = 124869, coef = 0.006247
Feat4 : error = 0.000001, toggle = 1, threshold = -950606976.000000, index = 125119, coef = 0.000000
Feat5 : error = 0.000001, toggle = 1, threshold = -14574512.000000, index = 94610, coef = -0.010858
Feat6 : error = 0.000249, toggle = 1, threshold = -33521.500000, index = 90030, coef = -0.058114
Feat7 : error = 0.000001, toggle = 1, threshold = 4752221.500000, index = 119727, coef = -0.033711
Feat8 : error = 0.000001, toggle = 1, threshold = -950610624.000000, index = 126197, coef = -0.050508
Feat9 : error = 0.000001, toggle = 1, threshold = 4751710.000000, index = 119834, coef = -0.044421
Feat10 : error = 0.000001, toggle = 1, threshold = -950610432.000000, index = 126159, coef = -0.039145
Feat11 : error = 0.000001, toggle = 1, threshold = -950610880.000000, index = 126229, coef = 0.000001
Feat12 : error = 0.000001, toggle = 1, threshold = -950610240.000000, index = 126115, coef = -0.000001
Feat13 : error = 0.000001, toggle = 1, threshold = -950606208.000000, index = 124735, coef = 0.000001
Feat14 : error = 0.000001, toggle = 1, threshold = -950610048.000000, index = 126065, coef = -0.000001
Feat15 : error = 0.000001, toggle = 1, threshold = -950609536.000000, index = 125947, coef = -0.000001
Feat16 : error = 0.000001, toggle = 1, threshold = -950609792.000000, index = 126009, coef = -0.000001
Feat17 : error = 0.000001, toggle = 1, threshold = 4745999.500000, index = 120572, coef = -0.034554
Feat18 : error = 0.000001, toggle = 1, threshold = -950611136.000000, index = 126255, coef = -0.030533
Feat19 : error = 0.000028, toggle = 1, threshold = -2133314432.000000, index = 80917, coef = -0.023070
Feat20 : error = 0.000001, toggle = 1, threshold = -950609344.000000, index = 125879, coef = -0.000114
Feat21 : error = 0.000001, toggle = 1, threshold = -2133264128.000000, index = 120882, coef = -0.013428
Feat22 : error = 0.000001, toggle = 1, threshold = -950606080.000000, index = 124595, coef = -0.004737
Feat23 : error = 0.000076, toggle = 1, threshold = 2128413184.000000, index = 131195, coef = -0.059345
Feat24 : error = 0.000072, toggle = 1, threshold = -2133346688.000000, index = 155237, coef = -0.055847
Feat25 : error = 0.000076, toggle = 1, threshold = -2133235712.000000, index = 121827, coef = 0.003776
Feat26 : error = 0.000001, toggle = 1, threshold = -950607488.000000, index = 125235, coef = 0.001691
Feat27 : error = 0.000065, toggle = 1, threshold = -2133234944.000000, index = 121713, coef = 0.000582
Feat28 : error = 0.000061, toggle = 1, threshold = -16639112.000000, index = 57486, coef = -0.028945
Feat29 : error = 0.000001, toggle = 1, threshold = -950609216.000000, index = 125805, coef = -0.016187
Feat30 : error = 0.000133, toggle = 1, threshold = -2145064576.000000, index = 11294, coef = -0.016257
Feat31 : error = 0.000042, toggle = 1, threshold = -2145032576.000000, index = 16320, coef = -0.007954
Feat32 : error = 0.000001, toggle = 1, threshold = -950611520.000000, index = 126275, coef = 0.018679
Feat33 : error = 0.000102, toggle = 1, threshold = -2145032448.000000, index = 15887, coef = -0.008084
Feat34 : error = 0.000057, toggle = 1, threshold = -2145017600.000000, index = 10939, coef = 0.000178
Feat35 : error = 0.000058, toggle = 1, threshold = -2145064704.000000, index = 11647, coef = 0.000216
Feat36 : error = 0.000001, toggle = 1, threshold = -950609152.000000, index = 125725, coef = 0.006004
Feat37 : error = 0.000001, toggle = 1, threshold = -950608064.000000, index = 125345, coef = 0.000001
Feat38 : error = 0.000001, toggle = 1, threshold = -950611904.000000, index = 126289, coef = -0.000001
Feat39 : error = 0.000001, toggle = 1, threshold = -950609024.000000, index = 125639, coef = 0.000001

